#{"t_start": 1776087011.1915166, "env_id": "highway-v0"}
r,l,t
2.759115,4,4154.63561
14.62292,18,4160.807191
3.760353,5,4162.532623
12.356476,14,4167.318868
13.95136,15,4172.542803
5.959013,7,4174.941656
5.959013,7,4177.326534
10.361592,12,4181.457076
9.567092,11,4185.326779
4.760184,6,4187.454507
3.758513,5,4189.176069
16.916568,20,4196.109636
17.358984,19,4202.719181
4.959018,6,4204.859724
11.000523,13,4209.334204
9.761178,12,4213.461191
4.802349,7,4215.899811
24.228647,30,4226.340952
8.354291,10,4229.846286
1.960209,3,4230.896574
13.011994,15,4235.983108
6.275344,7,4238.429882
2.120634,3,4239.48324
1.795329,3,4240.542511
20.890865,30,4250.986496
7.959012,9,4254.120481
11.559055,13,4258.579063
3.927251,6,4260.656321
11.010261,13,4265.197822
3.204545,5,4266.920799
10.479035,12,4271.050164
5.760155,7,4273.508522
8.689857,11,4277.241908
1.960209,3,4278.27598
10.143824,13,4282.828352
2.401173,4,4284.223723
4.357717,6,4286.329878
21.211334,30,4296.678236
5.885341,8,4299.453728
4.959018,6,4301.553819
3.959047,5,4303.289394
1.600037,3,4304.323741
9.85525,11,4308.210175
2.957377,4,4309.608324
4.365321,6,4311.712438
15.759915,19,4318.281892
4.568091,6,4320.336594
3.052257,4,4321.754317
1.767153,3,4322.82321
14.485279,18,4329.003778
10.560077,13,4333.47794
13.459076,17,4339.368854
8.559444,10,4342.792472
4.721705,6,4344.860336
6.88294,9,4348.003772
13.951879,15,4353.247981
2.401174,4,4354.688234
2.401191,4,4356.095219
6.955316,8,4358.893657
16.362694,18,4365.105129
1.960209,3,4366.17179
10.283193,13,4370.655907
4.559254,6,4372.72671
11.205166,15,4377.935136
1.602273,3,4378.997548
12.565122,15,4384.189755
7.361752,9,4387.278999
14.6523,16,4392.759318
12.66083,15,4397.982966
6.706598,10,4401.419236
12.260224,15,4406.572486
6.959012,8,4409.320385
2.589422,4,4410.708132
20.158421,28,4420.391957
11.643447,14,4425.235897
3.957206,5,4426.946384
1.997379,3,4427.990077
2.121655,3,4429.060843
2.131782,4,4430.457193
10.128199,14,4435.281857
4.8046,7,4437.71942
17.116017,18,4443.96496
2.959217,4,4445.353205
4.957177,6,4447.437423
18.059803,20,4454.337187
21.572689,30,4464.670894
22.38289,30,4475.155152
1.960209,3,4476.226011
4.589437,6,4478.334624
8.436561,10,4481.808927
5.959013,7,4484.263043
1.960209,3,4485.324591
4.764108,6,4487.412867
3.107012,5,4489.148228
7.955321,9,4492.24039
10.07648,11,4496.070787
14.557199,16,4501.576445
7.98574,9,4504.675364
0.985098,2,4505.393759
4.955055,6,4507.497422
22.353059,30,4518.148751
12.97246,16,4523.718834
16.959012,18,4529.916602
3.959047,5,4531.655017
6.359344,8,4534.450416
1.198555,2,4535.158504
19.231955,22,4542.758477
1.600037,3,4543.836944
3.703522,6,4545.905142
1.960209,3,4546.944411
15.969645,18,4553.263066
8.347586,12,4557.420812
2.957377,4,4558.826659
7.758313,9,4561.923822
3.20231,5,4563.640945
10.978541,16,4569.237097
9.20727,11,4573.037303
19.451979,21,4580.267323
4.920482,6,4582.350489
17.758468,19,4588.865831
1.960209,3,4589.901593
10.5576,12,4594.070857
16.765214,20,4601.097902
2.987592,4,4602.507288
